FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
60633SPRYL1701E,PPG INDUSTRIES INC,METHYL ISOBUTYL KETONE,    108-10-1,108101,N,Y,Y,1701 E 122-ND ST,CHICAGO,COOK,IL,NA,METHYL ISOBUTYL KETONE,325
60433NTHNN9809I,MACDERMID ENTHONE INC,NITRATE COMPOUNDS,N511,N511,N,N,N,9809 INDUSTRIAL DR,BRIDGEVIEW,COOK,IL,NA,NITRATE COMPOUNDS,325
61607DDWRD7800S,EDWARDS POWER STATION,BARIUM COMPOUNDS,N040,N040,N,N,N,7800 S CILCO LN,BARTONVILLE,PEORIA,IL,NA,BARIUM COMPOUNDS,2211
62525DCTRF1745N,DECATUR FOUNDRY INC,NAPHTHALENE,     91-20-3,91203,N,Y,N,1745 N ILLINOIS ST,DECATUR,MACON,IL,NA,NAPHTHALENE,331
61068MCLC0100ES,ROCHELLE TERMINAL,POLYCYCLIC AROMATIC COMPOUNDS,N590,N590,Y,Y,N,100 E STANDARD OIL RD,ROCHELLE,OGLE,IL,NA,POLYCYCLIC AROMATIC COMPOUNDS,4247
60090SPCTR140EH,UTI HOLDINGS LLC (DBA SPECTRUM MANUFACTURING INC),NICKEL,   7440-02-0,7440020,Y,Y,Y,140 E HINTZ RD,WHEELING,COOK,IL,NA,NICKEL,339
60938NCBRS540EU,INCOBRASA INDUSTRIES LTD,METHANOL,     67-56-1,67561,N,Y,N,540 E US HWY 24,GILMAN,IROQUOIS,IL,NA,METHANOL,311
62935BRSHY4270N,NUBAY MINING LLC,STYRENE,    100-42-5,100425,Y,Y,N,4270 N AMERICA RD,GALATIA,SALINE,IL,NA,STYRENE,2121
60510MRCNN600KI,AMERICAN INDUSTRIAL TECHNOLOGIES INC,ZINC COMPOUNDS,N982,N982,N,N,N,600 KINGSLAND DR,BATAVIA,KANE,IL,NA,ZINC COMPOUNDS,325
60609LCLCN4342S,CEDAR CONCEPTS CORP,CERTAIN GLYCOL ETHERS,N230,N230,N,Y,N,4342 S WOLCOTT AVE,CHICAGO,COOK,IL,NA,CERTAIN GLYCOL ETHERS,325
